date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:02	21966/21966	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:01%20GMT	https://www.cnblogs.com/xinxianquan/p/10876938.html	www.cnblogs.com/xinxianquan/p/10876938.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:04	9374/9374	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:02%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/16.html	www.cnblogs.com/xinxianquan/archive/2019/05/16.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:05	11067/11067	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:03%20GMT	https://www.cnblogs.com/xinxianquan/p/10735372.html	www.cnblogs.com/xinxianquan/p/10735372.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:05	10889/10889	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:04%20GMT	https://www.cnblogs.com/xinxianquan/p/10673954.html	www.cnblogs.com/xinxianquan/p/10673954.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:06	12379/12379	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:05%20GMT	https://www.cnblogs.com/xinxianquan/p/10828675.html	www.cnblogs.com/xinxianquan/p/10828675.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:07	8089/8089	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:06%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/09.html	www.cnblogs.com/xinxianquan/archive/2019/05/09.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:09	7716/7716	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:08%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/06.html	www.cnblogs.com/xinxianquan/archive/2019/05/06.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:09	26454/26454	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:07%20GMT	https://www.cnblogs.com/xinxianquan/p/10838683.html	www.cnblogs.com/xinxianquan/p/10838683.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:09	9327/9327	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:09%20GMT	https://www.cnblogs.com/xinxianquan/p/10819055.html	www.cnblogs.com/xinxianquan/p/10819055.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:11	8175/8175	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:10%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/04.html	www.cnblogs.com/xinxianquan/archive/2019/05/04.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:12	13894/13894	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:11%20GMT	https://www.cnblogs.com/xinxianquan/p/10809644.html	www.cnblogs.com/xinxianquan/p/10809644.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:13	8079/8079	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:12%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/29.html	www.cnblogs.com/xinxianquan/archive/2019/04/29.html	(from https://www.cnblogs.com/xinxianquan/)
